nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -1.000000000E-16 -5.000000000E-01 -3.601424851E+00 
         2 -1.570537954E-02 -4.997532802E-01 -3.592223305E+00 
         3  1.570537954E-02 -4.997532802E-01 -3.591759385E+00 
         4 -3.139525976E-02 -4.990133642E-01 -3.564815655E+00 
         5  3.139525976E-02 -4.990133642E-01 -3.563691108E+00 
         6 -4.705415666E-02 -4.977809823E-01 -3.520721101E+00 
         7  4.705415666E-02 -4.977809823E-01 -3.518666075E+00 
         8 -6.266661678E-02 -4.960573507E-01 -3.461860502E+00 
         9  6.266661678E-02 -4.960573507E-01 -3.458684574E+00 
        10 -7.821723252E-02 -4.938441703E-01 -3.390142736E+00 
        11  7.821723252E-02 -4.938441703E-01 -3.385823168E+00 
        12 -9.369065729E-02 -4.911436254E-01 -3.307360927E+00 
        13  9.369065729E-02 -4.911436254E-01 -3.301804611E+00 
        14 -1.090716207E-01 -4.879583810E-01 -3.215128035E+00 
        15  1.090716207E-01 -4.879583810E-01 -3.208202353E+00 
        16 -1.243449436E-01 -4.842915806E-01 -3.114756536E+00 
        17  1.243449436E-01 -4.842915806E-01 -3.106460287E+00 
        18 -1.394955530E-01 -4.801468428E-01 -3.007383677E+00 
        19  1.394955530E-01 -4.801468428E-01 -2.997683858E+00 
        20 -1.545084972E-01 -4.755282581E-01 -2.894011836E+00 
        21  1.545084972E-01 -4.755282581E-01 -2.882827710E+00 
        22 -1.693689601E-01 -4.704403845E-01 -2.775489439E+00 
        23  1.693689601E-01 -4.704403845E-01 -2.762706109E+00 
        24 -1.840622763E-01 -4.648882429E-01 -2.652571436E+00 
        25  1.840622763E-01 -4.648882429E-01 -2.638069804E+00 
        26 -1.985739453E-01 -4.588773128E-01 -2.525737743E+00 
        27  1.985739453E-01 -4.588773128E-01 -2.509582510E+00 
        28 -2.128896458E-01 -4.524135262E-01 -2.395701402E+00 
        29  2.128896458E-01 -4.524135262E-01 -2.377843757E+00 
        30 -2.269952499E-01 -4.455032621E-01 -2.263268424E+00 
        31  2.269952499E-01 -4.455032621E-01 -2.243370667E+00 
        32 -2.408768371E-01 -4.381533400E-01 -2.129097265E+00 
        33  2.408768371E-01 -4.381533400E-01 -2.106828191E+00 
        34 -2.545207079E-01 -4.303710135E-01 -1.994123191E+00 
        35  2.545207079E-01 -4.303710135E-01 -1.968734168E+00 
        36 -2.679133975E-01 -4.221639628E-01 -1.858395380E+00 
        37  2.679133975E-01 -4.221639628E-01 -1.829281720E+00 
        38 -2.810416889E-01 -4.135402871E-01 -1.721022455E+00 
        39  2.810416889E-01 -4.135402871E-01 -1.688879211E+00 
        40 -2.938926261E-01 -4.045084972E-01 -1.582527447E+00 
        41  2.938926261E-01 -4.045084972E-01 -1.548045520E+00 
        42 -3.064535268E-01 -3.950775062E-01 -1.444097269E+00 
        43  3.064535268E-01 -3.950775062E-01 -1.407245693E+00 
        44 -3.187119949E-01 -3.852566214E-01 -1.306166869E+00 
        45  3.187119949E-01 -3.852566214E-01 -1.266913598E+00 
        46 -3.306559327E-01 -3.750555348E-01 -1.169140674E+00 
        47  3.306559327E-01 -3.750555348E-01 -1.127488306E+00 
        48 -3.422735530E-01 -3.644843137E-01 -1.033385991E+00 
        49  3.422735530E-01 -3.644843137E-01 -9.894345945E-01 
        50 -3.535533906E-01 -3.535533906E-01 -8.992671709E-01 
        51  3.535533906E-01 -3.535533906E-01 -8.532878848E-01 
        52 -3.644843137E-01 -3.422735530E-01 -7.671454557E-01 
        53  3.644843137E-01 -3.422735530E-01 -7.196091724E-01 
        54 -3.750555348E-01 -3.306559327E-01 -6.373569242E-01 
        55  3.750555348E-01 -3.306559327E-01 -5.885071728E-01 
        56 -3.852566214E-01 -3.187119949E-01 -5.101864942E-01 
        57  3.852566214E-01 -3.187119949E-01 -4.593589652E-01 
        58 -3.950775062E-01 -3.064535268E-01 -3.859547406E-01 
        59  3.950775062E-01 -3.064535268E-01 -3.324145015E-01 
        60 -4.045084972E-01 -2.938926261E-01 -2.650196785E-01 
        61  4.045084972E-01 -2.938926261E-01 -2.093229731E-01 
        62 -4.135402871E-01 -2.810416889E-01 -1.477885353E-01 
        63  4.135402871E-01 -2.810416889E-01 -9.056297829E-02 
        64 -4.221639628E-01 -2.679133975E-01 -3.477259445E-02 
        65  4.221639628E-01 -2.679133975E-01  2.411669427E-02 
        66 -4.303710135E-01 -2.545207079E-01  7.391715511E-02 
        67  4.303710135E-01 -2.545207079E-01  1.341443432E-01 
        68 -4.381533400E-01 -2.408768371E-01  1.781668968E-01 
        69  4.381533400E-01 -2.408768371E-01  2.387842964E-01 
        70 -4.455032621E-01 -2.269952499E-01  2.774972064E-01 
        71  4.455032621E-01 -2.269952499E-01  3.371796432E-01 
        72 -4.524135262E-01 -2.128896458E-01  3.715345289E-01 
        73  4.524135262E-01 -2.128896458E-01  4.283732798E-01 
        74 -4.588773128E-01 -1.985739453E-01  4.600146175E-01 
        75  4.588773128E-01 -1.985739453E-01  5.113823364E-01 
        76 -4.648882429E-01 -1.840622763E-01  5.427502195E-01 
        77  4.648882429E-01 -1.840622763E-01  5.855022803E-01 
        78 -4.704403845E-01 -1.693689601E-01  6.195133977E-01 
        79  4.704403845E-01 -1.693689601E-01  6.501930761E-01 
        80 -4.755282581E-01 -1.545084972E-01  6.901077785E-01 
        81  4.755282581E-01 -1.545084972E-01  7.049387255E-01 
        82 -4.801468428E-01 -1.394955530E-01  7.544345925E-01 
        83  4.801468428E-01 -1.394955530E-01  7.496179764E-01 
        84 -4.842915806E-01 -1.243449436E-01  8.125399240E-01 
        85  4.842915806E-01 -1.243449436E-01  7.845722520E-01 
        86 -4.879583810E-01 -1.090716207E-01  8.645699689E-01 
        87  4.879583810E-01 -1.090716207E-01  8.106301148E-01 
        88 -4.911436254E-01 -9.369065729E-02  9.103780148E-01 
        89  4.911436254E-01 -9.369065729E-02  8.290393173E-01 
        90 -4.938441703E-01 -7.821723252E-02  9.496063940E-01 
        91  4.938441703E-01 -7.821723252E-02  8.413087345E-01 
        92 -4.960573507E-01 -6.266661678E-02  9.820038943E-01 
        93  4.960573507E-01 -6.266661678E-02  8.489980897E-01 
