nodenumber     x-coordinate     y-coordinate pressure-coefficient 
         1 -1.985739453E-01 -6.039308400E-02 -8.743482441E-02 
         2 -1.840622763E-01 -6.034847945E-02 -8.944421164E-02 
         3 -2.128896458E-01 -6.034247995E-02 -8.468496748E-02 
         4 -1.693689601E-01 -6.021020884E-02 -9.075878332E-02 
         5 -2.269952499E-01 -6.019541325E-02 -8.114742550E-02 
         6 -1.545084972E-01 -5.998010666E-02 -9.142324805E-02 
         7 -2.408768371E-01 -5.995091047E-02 -7.677262944E-02 
         8 -1.394955530E-01 -5.966029798E-02 -9.148180359E-02 
         9 -2.545207079E-01 -5.960826716E-02 -7.150755836E-02 
        10 -1.243449436E-01 -5.925319214E-02 -9.097837290E-02 
        11 -2.679133975E-01 -5.916703310E-02 -6.529347290E-02 
        12 -1.090716207E-01 -5.876147125E-02 -8.995669766E-02 
        13 -2.810416889E-01 -5.862699535E-02 -5.806901484E-02 
        14 -9.369065729E-02 -5.818807383E-02 -8.846038966E-02 
        15 -2.938926261E-01 -5.798815993E-02 -4.976385134E-02 
        16 -7.821723252E-02 -5.753617386E-02 -8.653272153E-02 
        17 -3.064535268E-01 -5.725073317E-02 -4.029556827E-02 
        18 -6.266661678E-02 -5.680915567E-02 -8.421719696E-02 
        19 -3.187119949E-01 -5.641510362E-02 -2.956997305E-02 
        20 -4.705415666E-02 -5.601058544E-02 -8.155401533E-02 
        21 -3.306559327E-01 -5.548182550E-02 -1.748314545E-02 
        22 -3.139525976E-02 -5.514418009E-02 -7.857978161E-02 
        23 -3.422735530E-01 -5.445160456E-02 -3.914989165E-03 
        24 -1.570537954E-02 -5.421377426E-02 -7.532879141E-02 
        25 -3.535533906E-01 -5.332528699E-02  1.127829165E-02 
        26 -1.000000000E-16 -5.322328660E-02 -7.182550640E-02 
        27  1.570537954E-02 -5.217668612E-02 -6.809891042E-02 
        28 -3.644843137E-01 -5.210385207E-02  2.825646201E-02 
        29  3.139525976E-02 -5.107795954E-02 -6.419453327E-02 
        30 -3.750555348E-01 -5.078840902E-02  4.721013689E-02 
        31  4.705415666E-02 -4.993108077E-02 -6.015009049E-02 
        32 -3.852566214E-01 -4.938019816E-02  6.834266143E-02 
        33  6.266661678E-02 -4.873998308E-02 -5.598667198E-02 
        34 -3.950775062E-01 -4.788059654E-02  9.186763065E-02 
        35  7.821723252E-02 -4.750853479E-02 -5.171604999E-02 
        36 -4.045084972E-01 -4.629112784E-02  1.180210020E-01 
        37  9.369065729E-02 -4.624051911E-02 -4.734746209E-02 
        38  1.090716207E-01 -4.493961842E-02 -4.289171995E-02 
        39 -4.135402871E-01 -4.461347613E-02  1.470504727E-01 
        40  1.243449436E-01 -4.360940331E-02 -3.835685019E-02 
        41 -4.221639628E-01 -4.284950302E-02  1.792172681E-01 
        42  1.394955530E-01 -4.225332654E-02 -3.374762685E-02 
        43 -4.303710135E-01 -4.100126740E-02  2.148110055E-01 
        44  1.545084972E-01 -4.087472159E-02 -2.906631514E-02 
        45  1.693689601E-01 -3.947680579E-02 -2.431481534E-02 
        46 -4.381533400E-01 -3.907104688E-02  2.541470683E-01 
        47  1.840622763E-01 -3.806268744E-02 -1.949128971E-02 
        48 -4.455032621E-01 -3.706136009E-02  2.981364337E-01 
        49  1.985739453E-01 -3.663537646E-02 -1.460006323E-02 
        50  2.128896458E-01 -3.519779778E-02 -9.624903071E-03 
        51 -4.524135262E-01 -3.497498855E-02  3.478736374E-01 
        52  2.269952499E-01 -3.375280694E-02 -4.536803278E-03 
        53 -4.588773128E-01 -3.281499725E-02  4.037622209E-01 
        54  2.408768371E-01 -3.230320684E-02  6.783952184E-04 
        55  2.545207079E-01 -3.085176501E-02  6.037961238E-03 
        56 -4.648882429E-01 -3.058475268E-02  4.660036022E-01 
        57  2.679133975E-01 -2.940123054E-02  1.156010034E-02 
        58 -4.704403845E-01 -2.828793740E-02  5.347950000E-01 
        59  2.810416889E-01 -2.795434989E-02  1.726355090E-02 
        60  2.938926261E-01 -2.651388090E-02  2.316718205E-02 
        61 -4.755282581E-01 -2.592856014E-02  6.100249609E-01 
        62  3.064535268E-01 -2.508260438E-02  2.928977444E-02 
        63  3.187119949E-01 -2.366333289E-02  3.564983565E-02 
        64 -4.801468428E-01 -2.351096059E-02  6.909625719E-01 
        65  3.306559327E-01 -2.225891619E-02  4.226546903E-02 
        66 -4.842915806E-01 -2.103980837E-02  7.756386547E-01 
        67  3.422735530E-01 -2.087224339E-02  4.915431950E-02 
        68  3.535533906E-01 -1.950624146E-02  5.633361623E-02 
        69 -4.879583810E-01 -1.852009554E-02  8.600837260E-01 
        70  3.644843137E-01 -1.816387037E-02  6.382032863E-02 
        71  3.750555348E-01 -1.684811506E-02  7.163141973E-02 
        72 -4.911436254E-01 -1.595712257E-02  9.363212351E-01 
        73  3.852566214E-01 -1.556197435E-02  7.978422574E-02 
        74  3.950775062E-01 -1.430844752E-02  8.829696483E-02 
        75 -4.938441703E-01 -1.335647761E-02  9.919574702E-01 
        76  4.045084972E-01 -1.309051883E-02  9.718939025E-02 
        77  4.135402871E-01 -1.191114057E-02  1.064836069E-01 
        78  4.221639628E-01 -1.077321534E-02  1.162050801E-01 
        79 -4.960573507E-01 -1.072400942E-02  1.009084583E+00 
        80  4.303710135E-01 -9.679578015E-03  1.263838729E-01 
        81  4.381533400E-01 -8.632977998E-03  1.370562003E-01 
        82 -4.977809823E-01 -8.065794149E-03  9.666302447E-01 
        83  4.455032621E-01 -7.636062320E-03  1.482663864E-01 
        84  4.524135262E-01 -6.691359978E-03  1.600693596E-01 
        85  4.588773128E-01 -5.801267918E-03  1.725339505E-01 
        86 -4.990133642E-01 -5.388096926E-03  8.453269264E-01 
        87  4.648882429E-01 -4.968038931E-03  1.857473640E-01 
        88  4.704403845E-01 -4.193771634E-03  1.998214458E-01 
        89  4.755282581E-01 -3.480402612E-03  2.149017530E-01 
        90  4.801468428E-01 -2.829700686E-03  2.311815482E-01 
        91 -4.997532802E-01 -2.697328767E-03  6.327497843E-01 
        92  4.842915806E-01 -2.243263192E-03  2.489236087E-01 
        93  4.879583810E-01 -1.722514059E-03  2.685008058E-01 
        94  4.911436254E-01 -1.268703414E-03  2.904561544E-01 
        95  4.938441703E-01 -8.829084014E-04  3.156722016E-01 
        96  4.960573507E-01 -5.660348559E-04  3.454004670E-01 
        97  4.977809823E-01 -3.188194792E-04  3.822872670E-01 
        98  4.990133642E-01 -1.418321723E-04  4.265905339E-01 
        99  4.997532802E-01 -3.547821079E-05  4.988555643E-01 
       100 -5.000000000E-01  0.000000000E+00  3.375992887E-01 
       101  5.000000000E-01  0.000000000E+00  5.117300736E-01 
       102  4.997532802E-01  3.547821079E-05  4.882623371E-01 
       103  4.990133642E-01  1.418321723E-04  4.187180533E-01 
       104  4.977809823E-01  3.188194792E-04  3.751147907E-01 
       105  4.960573507E-01  5.660348559E-04  3.371422522E-01 
       106  4.938441703E-01  8.829084014E-04  3.053931634E-01 
       107  4.911436254E-01  1.268703414E-03  2.776413668E-01 
       108  4.879583810E-01  1.722514059E-03  2.527664625E-01 
       109  4.842915806E-01  2.243263192E-03  2.299585836E-01 
       110 -4.997532802E-01  2.697328767E-03 -1.188326555E-02 
       111  4.801468428E-01  2.829700686E-03  2.087081078E-01 
       112  4.755282581E-01  3.480402612E-03  1.886627854E-01 
       113  4.704403845E-01  4.193771634E-03  1.695811057E-01 
       114  4.648882429E-01  4.968038931E-03  1.512897244E-01 
       115 -4.990133642E-01  5.388096926E-03 -3.758034603E-01 
       116  4.588773128E-01  5.801267918E-03  1.336543405E-01 
       117  4.524135262E-01  6.691359978E-03  1.165760140E-01 
